index,title,Artist,work,image_Link,location,date,time
0,Chineke! Junior Orchestra | Glass Marcano | Gerard Aimontche,Coleridge-Taylor | Goodyear | Tchaikovsky                                	,Zurich Insurance Company Ltd - Main Sponsor and Founding Partner Music for Future,https://d114xt1mltdkik.cloudfront.net/media/thumbnails/filer_public/d6/46/d64619b1-e2d1-4814-ba75-03eb0a056fd7/chinekeyouth_2020_c_orlandogili_2475.jpg__210x136_q85_autocrop_crop-smart_cropper-event_list-_subsampling-2.jpg,"KKL Luzern, Concert Hall							",09. Aug,Tuesday 19.30
1,National Youth Orchestra of the USA | Daniel Harding | Alisa Weilerstein,Elgar  | Mahler                                                                							,,https://d114xt1mltdkik.cloudfront.net/media/thumbnails/filer_public/26/49/26490607-9694-4985-b3e0-cc98e300083e/weilersteinalisa_c_marco_borggreve.jpg__210x136_q85_autocrop_crop-smart_cropper-event_list-_subsampling-2.jpg,"KKL Luzern, Concert Hall							",10. Aug,Wednesday 19.30
2,Ilumina | Jennifer Stumm,“The Nature of Light”                                	,Hilti Foundation - Partner Music for Future,https://d114xt1mltdkik.cloudfront.net/media/thumbnails/filer_public/c6/df/c6df79a9-7edf-4edc-a813-7f8988ebc825/iluminagroup05rodrigo_rosenthal.jpg__210x136_q85_autocrop_crop-smart_cropper-event_list-_subsampling-2.jpg,"KKL Luzern, Concert Hall							",11. Aug,Thursday 19.30
3,Lucerne Festival Orchestra | Riccardo Chailly | Anne-Sophie Mutter,"Rihm | Bologne, Chevalier de Saint-Georges | Rachmaninoff                                	",Kühne Foundation - Main Sponsor and Partner Lucerne Festival Orchestra,https://d114xt1mltdkik.cloudfront.net/media/thumbnails/filer_public/52/23/5223e03a-cbcf-48fd-a8b9-dcb68dac3e6c/mutter_williams_across_the_stars_0047.jpg__210x136_q85_autocrop_crop-smart_cropper-event_list-_subsampling-2.jpg,"KKL Luzern, Concert Hall							",12. Aug,Friday 18.30
4,Lucerne Festival Orchestra | Riccardo Chailly | Denis Matsuev,Rachmaninoff                                                                							,,https://d114xt1mltdkik.cloudfront.net/media/thumbnails/filer_public/6f/d0/6fd06638-117a-45b0-9eb3-1e95863c9f65/190816_19301_sommer_lfo_chailly_matsuev_eroffnungskonzert_c_fischli_03_approved.jpg__210x136_q85_autocrop_crop-smart_cropper-event_list-_subsampling-2.jpg,"KKL Luzern, Concert Hall							",13. Aug,Saturday 18.30
5,Sir András Schiff,J.S. Bach | Mozart | Beethoven | Schubert                                                                							,,https://d114xt1mltdkik.cloudfront.net/media/thumbnails/filer_public/2f/c9/2fc969ff-550c-4d00-a4f5-a7d9e6518330/181121_18509_rezital_3_schiff_cpketterer_lucernefestival_03.jpg__210x136_q85_autocrop_crop-smart_cropper-event_list-_subsampling-2.jpg,"KKL Luzern, Concert Hall							",14. Aug,Sunday 11.00
6,JACK Quartet | Tyshawn Sorey,Lim | Sorey                                                                							,,https://d114xt1mltdkik.cloudfront.net/media/thumbnails/filer_public/6a/43/6a43b809-4fd1-404c-9927-72237b3abc46/sorey_tyshawn_1-_john_rogers.jpeg__210x136_q85_autocrop_crop-smart_cropper-event_list-_subsampling-2.jpg,"KKL Luzern, Lucerne Hall							",14. Aug,Sunday 14.30
7,West-Eastern Divan Orchestra | Daniel Barenboim,Smetana                                                                 							,,https://d114xt1mltdkik.cloudfront.net/media/thumbnails/filer_public/d5/c7/d5c722ea-9474-448d-922f-5fa0e53a4d9c/180822_18311_sk6_wedo_barenboim_cpketterer_lucernefestival_02.jpg__210x136_q85_autocrop_crop-smart_cropper-event_list-_subsampling-2.jpg,"KKL Luzern, Concert Hall							",14. Aug,Sunday 19.30
8,West-Eastern Divan Orchestra | Daniel Barenboim | Lang Lang,Ravel | de Falla | Debussy                                                                							,,https://d114xt1mltdkik.cloudfront.net/media/thumbnails/filer_public/ab/55/ab553098-1514-4478-8e6e-5abdcd579c62/ll_2020__olaf_heine_deutsche_grammophon_2.jpg__210x136_q85_autocrop_crop-smart_cropper-event_list-_subsampling-2.jpg,"KKL Luzern, Concert Hall							",15. Aug,Monday 19.30
9,Soloists of the Lucerne Festival Orchestra,Price                                	,   - With the friendly support of Dr. Dolf und Maria Stockhausen,https://d114xt1mltdkik.cloudfront.net/media/thumbnails/filer_public/11/44/1144225d-95cb-46bd-908c-83174b0b9b1e/200816_20634_lfo_3_solisten_christ_c_fischli_14_nachbearbeitet.jpg__210x136_q85_autocrop_crop-smart_cropper-event_list-_subsampling-2.jpg,"KKL Luzern, Concert Hall							",16. Aug,Tuesday 19.30
10,Lucerne Festival Orchestra | Riccardo Chailly | Andrè Schuen,Mahler                                	,Kühne Foundation - Main Sponsor and Partner Lucerne Festival Orchestra,https://d114xt1mltdkik.cloudfront.net/media/thumbnails/filer_public/02/f9/02f96800-7dc3-47e0-9387-eaefceebe42a/schuenandre_c_guido_werner.jpg__210x136_q85_autocrop_crop-smart_cropper-event_list-_subsampling-2.jpg,"KKL Luzern, Concert Hall							",17. Aug,Wednesday 19.30
11,Zoltán Despond | Vesselin Stanev,Beethoven | Schumann | Boulanger | Hindemith | Prokofiev                                                                							,,https://d114xt1mltdkik.cloudfront.net/media/thumbnails/filer_public/bc/b8/bcb8d54c-296d-4952-93cd-77bf55371d37/zoltan_despond_with_vesselin_stanev_c_susan_brunner.jpg__210x136_q85_autocrop_crop-smart_cropper-event_list-_subsampling-2.jpg,,18. Aug,Thursday 12.15
12,Igor Levit,"Brahms/Busoni, Hersch, Wagner/Kocsis, Liszt                                                                							",,https://d114xt1mltdkik.cloudfront.net/media/thumbnails/filer_public/59/80/5980626b-fd03-4053-b215-9b0da0463e47/198-190821_19312_rezital_2_levit_cpketterer_lucernefestival_72_1.jpg__210x136_q85_autocrop_crop-smart_cropper-event_list-_subsampling-2.jpg,"KKL Luzern, Concert Hall							",18. Aug,Thursday 19.30
13,Lucerne Festival Orchestra | Jakub Hrůša | Augustin Hadelich,Suk | Dvořák                                 	,KPMG AG - Concert Sponsor,https://d114xt1mltdkik.cloudfront.net/media/thumbnails/filer_public/01/c3/01c3066b-2425-4d86-a447-d49d6596b64c/210824_lfo_hrusa_c_peterfischli_lucerne_festival_08.jpg__210x136_q85_autocrop_crop-smart_cropper-event_list-_subsampling-2.jpg,"KKL Luzern, Concert Hall							",19. Aug,Friday 19.30
